BBL.ID,DDays
2571-56201,12.38447821
2571-56204,4.22878063
2571-56211,9.860835226
2571-56212,9.898710971
2571-56217,19.64640494
2571-56219,9.349633181
2571-56215,15.0409575
2571-56220,20.69924151
2571-56234,22.8036491
2571-56232,19.04349835
2571-56261,1.724691611
2571-56258,3.853314403
2571-56229,9.030170966
2571-56235,32.3064183
2571-56227,14.89041686
2571-56225,13.39079452
2571-56228,8.228676359
2571-56260,2.141263311
2571-56250,15.83717421
2571-56256,7.698083096
2571-56255,1.657922508
2571-56251,11.89561189
2571-56252,8.086132718
2571-56240,18.63916223
2571-56244,13.47265512
2571-56236,14.92321375
2571-56207,17.4061904
2571-56205,17.15056949
2571-56231,8.656936757
2571-56238,14.44130788
2571-56214,19.68770397
2571-56237,19.05637619
2571-56226,10.22509135
2571-56221,19.76999444
2571-56243,14.4211157
2571-56224,15.97251149
2571-56239,1.572517926
2571-56230,18.60367508
2571-56202,18.51139359
2571-56203,0.382981691
2571-56206,12.7556539
