BBL.ID,DDays
1971-00629,17.5527783
1971-00638,21.66991852
1971-00641,NA
1971-00644,17.24321742
1971-00647,12.52949111
1971-00648,21.88800429
1971-15003,20.43175431
2461-15004,20.64739286
2461-15007,4.729398149
2461-15016,19.72776255
2461-15021,19.77136266
2461-15024,19.00002823
2461-15031,NA
2461-15033,18.24007574
2461-15034,25.19443263
2461-15035,NA
2461-15036,NA
2461-15037,13.95317351
2461-15038,18.59928442
2461-15039,NA
2461-15040,21.14464171
2461-15050,20.00278052
2461-15054,2.020287532
2461-15055,6.617962535
2461-15056,8.000279613
2461-15065,30.35994615
2461-15067,5.144463253
2461-15069,4.841828451
2461-15070,1.008355794
5461-15053,NA
