BBL.ID,DDays
1311-53431,25.1422492
1311-53432,15.0046444
1311-53434,21.570754
1311-53435,15.6832296
1311-53436,21.6434106
1311-53437,29.5505697
1311-53438,13.8415945
1311-53439,21.0229962
1311-53450,23.1321025
1311-53452,12.4227657
1311-53453,22.0796333
1311-53454,10.327282
1311-53455,3.3993667
1311-53456,9.184904
1311-53457,19.3392154
1311-53458,4.0340816
1311-53459,23.127545
1311-53460,15.2549086
1311-53461,0.3622624
1311-53463,3.8849301
1311-53464,8.7653616
1311-53465,26.2700789
1311-53466,15.2643394
1311-53467,8.7236123
1311-53468,18.8344007
1311-53469,15.2211011
1311-53471,15.6900519
1311-53472,7.6510858
1311-53473,14.9800846
1311-53477,16.2999949
2571-56201,12.38447821
2571-56204,4.22878063
2571-56211,9.860835226
2571-56212,9.898710971
2571-56217,19.64640494
2571-56219,9.349633181
2571-56215,15.0409575
2571-56220,20.69924151
2571-56234,22.8036491
2571-56232,19.04349835
2571-56261,1.724691611
2571-56258,3.853314403
2571-56229,9.030170966
2571-56235,32.3064183
2571-56227,14.89041686
2571-56225,13.39079452
2571-56228,8.228676359
2571-56260,2.141263311
2571-56250,15.83717421
2571-56256,7.698083096
2571-56255,1.657922508
2571-56251,11.89561189
2571-56252,8.086132718
2571-56240,18.63916223
2571-56244,13.47265512
2571-56236,14.92321375
2571-56207,17.4061904
2571-56205,17.15056949
2571-56231,8.656936757
2571-56238,14.44130788
2571-56214,19.68770397
2571-56237,19.05637619
2571-56226,10.22509135
2571-56221,19.76999444
2571-56243,14.4211157
2571-56224,15.97251149
2571-56239,1.572517926
2571-56230,18.60367508
2571-56202,18.51139359
2571-56203,0.382981691
2571-56206,12.7556539
1971-00629,17.5527783
1971-00638,21.66991852
1971-00641,NA
1971-00644,17.24321742
1971-00647,12.52949111
1971-00648,21.88800429
1971-15003,20.43175431
2461-15004,20.64739286
2461-15007,4.729398149
2461-15016,19.72776255
2461-15021,19.77136266
2461-15024,19.00002823
2461-15031,NA
2461-15033,18.24007574
2461-15034,25.19443263
2461-15035,NA
2461-15036,NA
2461-15037,13.95317351
2461-15038,18.59928442
2461-15039,NA
2461-15040,21.14464171
2461-15050,20.00278052
2461-15054,2.020287532
2461-15055,6.617962535
2461-15056,8.000279613
2461-15065,30.35994615
2461-15067,5.144463253
2461-15069,4.841828451
2461-15070,1.008355794
5461-15053,NA
2441-22586,7.726385338
2461-05358,NA
2461-05359,25.18936267
2461-05361,8.736184235
2461-05363,NA
2461-05364,3.35791242
2461-05365,3.387626986
2461-05371,8.606183321
2461-05373,29.43723296
2461-05375,NA
2461-05377,NA
2461-05378,NA
2461-05379,23.83462998
2461-05380,0.185791174
2461-05381,3.485708574
2461-05382,7.712355588
2461-05388,NA
2461-05393,NA
2461-05394,4.212986847
2461-05395,3.978494839
2461-05397,7.944871223
2461-05398,7.12155441
2461-05399,NA
2461-05400,0.411507301
2461-14702,3.046364104
2461-14704,24.30100941
2461-14708,15.18500904
2461-14712,23.61355643
2461-14714,23.51546611
2461-14715,0.634099
1151-40392,20.64646041
1151-40389,NA
1151-40347,18.73628147
1151-40336,13.30468426
1151-40348,13.0692265
1151-40338,8.204896792
1151-40337,16.83437155
1151-40304,7.283278074
1151-40320,16.93372261
1151-40313,23.26331167
1151-40317,0.496601772
1151-40311,22.6758821
1151-40332,13.09763943
1151-40303,16.93592777
1151-40351,24.65424891
1151-40352,1.11505462
1151-40353,6.291455949
1151-40354,1.519390976
1151-40350,3.493788036
1151-40349,16.92753387
1151-40357,24.67260384
1151-40387,33.30946013
