tower,tower.code,lat,long,receiver,SN,ant,bp.filter,ant.type,elements,element.orient,ant.orient,ant.slope,start.yr,start.mo,start.day,start.hr,start.min,stop.yr,stop.mo,stop.day,stop.hr,stop.min,proj
evangeline_beach,EVANG,45.14,-64.31,SG,NA,1,no,yagi,9,H,325,90,2013,NA,NA,NA,NA,2013,9,23,18,0,hamilton
windsor,WNDSR,45,-64.15,SG,NA,1,no,yagi,9,H,NA,90,2013,NA,NA,NA,NA,2013,9,23,19,0,hamilton
windsor,WNDSR,45,-64.15,SG,NA,2,no,yagi,9,H,NA,90,2013,NA,NA,NA,NA,2013,9,23,19,0,hamilton
porters_point,PORTP,45.14,-64.38,SG,NA,1,no,yagi,9,H,335,90,2013,NA,NA,NA,NA,2013,9,23,19,0,hamilton
fort_belcher,FTBLC,45.36,-63.4,SG,NA,6,no,yagi,9,H,192,90,2013,NA,NA,NA,NA,2013,9,24,13,55,hamilton
fort_belcher,FTBLC,45.36,-63.4,SG,NA,5,no,yagi,9,H,312,90,2013,NA,NA,NA,NA,2013,9,24,13,55,hamilton
avonport,AVPRT,45.11,-64.23,SG,NA,2,no,yagi,9,H,NA,90,2013,NA,NA,NA,NA,2013,9,25,14,30,hamilton
avonport,AVPRT,45.11,-64.23,DL,NA,1,no,yagi,9,H,NA,90,2013,9,25,15,20,2013,9,25,14,30,hamilton
maitland,MAIT,45.33,-63.54,SG,NA,5,no,yagi,9,H,40,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
maitland,MAIT,45.33,-63.54,SG,NA,6,no,yagi,9,H,320,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
Amherst,AMHRST,45.79,-64.28,NA,NA,NA,NA,NA,NA,NA,NA,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
NA,HPWLF,45.82,-64.58,NA,NA,NA,NA,NA,NA,NA,NA,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
NA,HPWLR,45.83,-64.57,NA,NA,NA,NA,NA,NA,NA,NA,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
joggins,JOGG,45.69,-64.45,NA,NA,NA,NA,NA,NA,NA,NA,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
johnson's mills,JOHNS,45.8,-64.49,NA,NA,NA,NA,NA,NA,NA,NA,90,2013,NA,NA,NA,NA,2013,NA,NA,NA,NA,hamilton
Seal Cove,SECO,44.5431,-67.7528,BD,NA,2,no,yagi,9,H,256,90,2013,8,6,1500,26,2013,NA,NA,NA,NA,holberton_receiver_configuration
Pineo Point,PIPO,44.5645,-67.8066,BD,NA,1,no,yagi,9,H,191,90,2013,8,6,1700,31,2013,NA,NA,NA,NA,holberton_receiver_configuration
PKR_lot1,PKR_lot1,42.7903,-70.8087,SG,13337,1,NA,yagi,9,H,230,90,2013,August,1,10,0,2013,October,NA,NA,NA,pau
PKR_lot1,PKR_lot1,42.7903,-70.8087,SG,1335B,2,NA,yagi,9,H,345,90,2013,August,1,10,0,2013,October,NA,NA,NA,pau
PKR_lot1,PKR_lot1,42.7903,-70.8087,SG,13338,3,NA,yagi,9,H,150,90,2013,August,1,10,0,2013,October,NA,NA,NA,pau
PKR Stage Island,PKR_stage,42.7108,-70.7799,SG,13355,1,NA,yagi,9,H,70,90,2013,August,1,14,0,2013,October,NA,NA,NA,pau
PKR Stage Island,PKR_stage,42.7108,-70.7799,SG,13361,2,NA,yagi,9,H,215,90,2013,August,1,14,0,2013,October,NA,NA,NA,pau
PKR Stage Island,PKR_stage,42.7108,-70.7799,SG,13357,3,NA,yagi,9,H,350,90,2013,August,1,14,0,2013,October,NA,NA,NA,pau
PKR Nelson's Island,PKR_Nelsons,42.7467,-70.8247,SG,,1,NA,yagi,9,H,270,90,2013,August,2,14,30,2013,October,NA,NA,NA,pau
PKR Nelson's Island,PKR_Nelsons,42.7467,-70.8247,SG,13398,2,NA,yagi,9,H,15,90,2013,August,2,14,30,2013,October,NA,NA,NA,pau
PKR Nelson's Island,PKR_Nelsons,42.7467,-70.8247,SG,13270,5,NA,yagi,9,H,150,90,2013,August,2,14,30,2013,October,NA,NA,NA,pau
PKR Headquarters,PKR_HQ,42.7985,-70.8492,SG,13326,1,NA,yagi,9,H,36,90,2013,August,2,16,0,2013,October,NA,NA,NA,pau
PKR Headquarters,PKR_HQ,42.7985,-70.8492,SG,13334,2,NA,yagi,9,H,156,90,2013,August,2,16,0,2013,October,NA,NA,NA,pau
Long Island,LONGI,43.688056,-70.153199,SG,13952,1,N,yagi,5,H,110,90,2013,8,29,23,NA,NA,NA,NA,NA,NA,peterson
Long Island,LONGI,43.688056,-70.153199,SG,13951,2,N,yagi,5,H,290,90,2013,8,29,23,NA,NA,NA,NA,NA,NA,peterson
Great Duck Island,GDI,44.15,-68.25,SG,BB BLK,1,no,yagi,9,H,45,90,2013,8,4,NA,NA,2013,NA,NA,NA,NA,smetzer
Great Duck Island,GDI,44.15,-68.25,SG,BB BLK,2,no,yagi,9,H,315,90,2013,8,4,NA,NA,2013,NA,NA,NA,NA,smetzer
Great Duck Island,GDI,44.15,-68.25,SG,BB BLK,4,no,yagi,9,H,225,90,2013,8,4,NA,NA,2013,NA,NA,NA,NA,smetzer
Great Duck Island,GDI,44.15,-68.25,SG,BB BLK,5,no,yagi,9,H,135,90,2013,8,4,NA,NA,2013,NA,NA,NA,NA,smetzer
Mount Desert Rock,MDR,43.97,-68.13,SG,BB BLK,NA,no,yagi,9,H,225,90,2013,8,30,NA,NA,2013,NA,NA,NA,NA,smetzer
Mount Desert Rock,MDR,43.97,-68.13,SG,BB BLK,NA,no,yagi,9,H,135,90,2013,8,30,NA,NA,2013,NA,NA,NA,NA,smetzer
Mount Desert Rock,MDR,43.97,-68.13,SG,BB BLK,NA,no,yagi,9,H,45,90,2013,8,30,NA,NA,2013,NA,NA,NA,NA,smetzer
Petit Manan Point,PMP,44.41,-67.91,SG,BB BLK,2,no,yagi,9,H,135,90,2013,9,13,NA,NA,2013,NA,NA,NA,NA,smetzer
Petit Manan Point,PMP,44.41,-67.91,SG,BB BLK,3,no,yagi,9,H,315,90,2013,9,13,NA,NA,2013,NA,NA,NA,NA,smetzer
Petit Manan Point,PMP,44.41,-67.91,SG,BB BLK,4,no,yagi,9,H,45,90,2013,9,13,NA,NA,2013,NA,NA,NA,NA,smetzer
Blue Hill,BHILL,44.43,-68.59,SG,BB BLK,1,no,yagi,9,H,270,90,2013,8,13,NA,NA,2013,NA,NA,NA,NA,smetzer
Blue Hill,BHILL,44.43,-68.59,SG,BB BLK,4,no,yagi,9,H,135,90,2013,8,13,NA,NA,2013,NA,NA,NA,NA,smetzer
Blue Hill,BHILL,44.43,-68.59,SG,BB BLK,5,no,yagi,9,H,180,90,2013,8,13,NA,NA,2013,NA,NA,NA,NA,smetzer
Rachel Carson,RCARS,43.34,-70.55,SG,BB BLK,2,no,yagi,9,H,148,90,2013,8,15,NA,NA,2013,NA,NA,NA,NA,smetzer
Rachel Carson,RCARS,43.34,-70.55,SG,BB BLK,4,no,yagi,9,H,230,90,2013,8,15,NA,NA,2013,NA,NA,NA,NA,smetzer
Rachel Carson,RCARS,43.34,-70.55,SG,BB BLK,5,no,yagi,9,H,104,90,2013,8,15,NA,NA,2013,NA,NA,NA,NA,smetzer
Ship Island,SHIP,44.23,-68.44,SG,BB BLK,1,no,yagi,9,H,315,90,2013,8,20,NA,NA,2013,NA,NA,NA,NA,smetzer
Ship Island,SHIP,44.23,-68.44,SG,BB BLK,2,no,yagi,9,H,135,90,2013,8,20,NA,NA,2013,NA,NA,NA,NA,smetzer
Ship Island,SHIP,44.23,-68.44,SG,BB BLK,3,no,yagi,9,H,225,90,2013,8,20,NA,NA,2013,NA,NA,NA,NA,smetzer
Ship Island,SHIP,44.23,-68.44,SG,BB BLK,4,no,yagi,9,H,45,90,2013,8,20,NA,NA,2013,9,14,8,NA,smetzer
Metinic,METIN,43.9,-69.12,SG,BB,1,no,yagi,9,H,45,90,2013,8,23,NA,NA,2013,NA,NA,NA,NA,smetzer
Metinic,METIN,43.9,-69.12,SG,BB,5,no,yagi,9,H,135,90,2013,8,23,NA,NA,2013,NA,NA,NA,NA,smetzer
Metinic,METIN,43.9,-69.12,SG,BB,6,no,yagi,9,H,315,90,2013,8,23,NA,NA,2013,NA,NA,NA,NA,smetzer
SERC_weather,SERC,44.34,-68.06,SG,BB,1,yes,yagi,9,H,180,90,2013,9,3,NA,NA,2013,NA,NA,NA,NA,smetzer
