"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"1","Holbt - Addison","08/14/2013","Addison-MILL RIVER","SESA","1311-53431","62","HY",NA,24.3,97,NA,23.9,28,"1351",NA,NA,6.6515
"2","Holbt - Addison","08/14/2013","Addison-MILL RIVER","SESA","1311-53432","60","AHY",NA,21.35,98,NA,19.2,28.4,"1351",NA,NA,6.7381
"3","Holbt - Addison","08/14/2013","Addison-MILL RIVER","SESA","1311-53433",NA,"AHY",NA,21.58,97,NA,17.4,32.2,"1351","14:10",0.49,10.8515
"4","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53434","67","AHY",NA,26.7,93,NA,17.6,20,"1720",NA,NA,0
"5","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53435","64","AHY",NA,21.6,101,NA,19.9,24,"1720",NA,NA,1.3979
"6","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53436","65","HY",NA,22.5,99,NA,17.7,22,"1720",NA,NA,0.0246999999999957
"7","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53437","66","HY",NA,20.7,95.5,NA,18.6,20,"1720",NA,NA,0
"8","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53438","69","AHY",NA,21.42,100.5,NA,19.5,29,"1720",NA,NA,6.5546
"9","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53439","72","HY",NA,21.09,96,NA,17.83,24,"1720",NA,NA,2.9649
"10","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53440",NA,NA,NA,21.17,94.5,NA,16.03,22,"1720",NA,NA,1.435
"11","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53441",NA,"HY",NA,22.09,96,NA,19.1,25,"1720",NA,NA,3.9649
"12","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53442",NA,"AHY",NA,21.74,95.5,NA,16.96,29,"1720",NA,NA,8.1216
"13","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53443",NA,"HY",NA,21.98,93,NA,19.71,25,"1720",NA,NA,4.9051
"14","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53444",NA,"AHY",NA,21.43,93,NA,18.01,22,"1720",NA,NA,1.9051
