BBL.ID,Date,Year,Proj,Location,Species,Age,Mass,WC ,EC,Tarsus,Culmen,Fat,Nanotag,Julian
1311-53431,08/14/2013,2013,Holbt,MILL RIVER,SESA,HY,28,97,23.9,24.3,NA,NA,62,226
1311-53432,08/14/2013,2013,Holbt,MILL RIVER,SESA,AHY,28.4,98,19.2,21.35,NA,NA,60,226
1311-53433,08/14/2013,2013,Holbt,MILL RIVER,SESA,AHY,32.2,97,17.4,21.58,NA,NA,NA,226
1311-53434,08/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,20,93,17.6,26.7,NA,NA,67,227
1311-53435,08/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,24,101,19.9,21.6,NA,NA,64,227
1311-53436,08/15/2013,2013,Holbt,DRY LEDGE,SESA,HY,22,99,17.7,22.5,NA,NA,65,227
1311-53437,08/15/2013,2013,Holbt,DRY LEDGE,SESA,HY,20,95.5,18.6,20.7,NA,NA,66,227
1311-53438,08/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,29,100.5,19.5,21.42,NA,NA,69,227
1311-53439,08/15/2013,2013,Holbt,DRY LEDGE,SESA,HY,24,96,17.83,21.09,NA,NA,72,227
1311-53440,08/15/2013,2013,Holbt,DRY LEDGE,SESA,NA,22,94.5,16.03,21.17,NA,NA,NA,227
1311-53441,08/15/2013,2013,Holbt,DRY LEDGE,SESA,HY,25,96,19.1,22.09,NA,NA,NA,227
1311-53442,08/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,29,95.5,16.96,21.74,NA,NA,NA,227
1311-53443,08/15/2013,2013,Holbt,DRY LEDGE,SESA,HY,25,93,19.71,21.98,NA,NA,NA,227
1311-53444,08/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,22,93,18.01,21.43,NA,NA,NA,227
1311-53445,08/15/2013,2013,Holbt,DRY LEDGE,SESA,HY,29,96.5,17.6,20.67,NA,NA,NA,227
1311-53446,08/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,30,96,18.59,22.13,NA,NA,NA,227
1311-53450,08/16/2013,2013,Holbt,MILL RIVER,SESA,HY,23.2,98,17.7,22.4,14.3,0,70,228
